Fold	Prediction	Truth	Proj&Col
1	0.03	0	552270
1	0.0	0	421151
1	0.01	0	309411
1	0.0	0	816185
1	0.0	0	524002
1	0.01	0	791906
1	0.01	0	421491
1	0.02	0	701488
1	0.0	0	818329
1	0.01	0	451395
1	0.21	1	846760
1	0.01	0	516835
1	0.0	0	807523
1	0.01	0	958094
1	0.0	0	887473
1	0.0	0	79633
1	0.0	0	476304
1	0.03	0	673403
1	0.0	0	791536
1	0.03	0	674361
1	0.01	0	437467
1	0.0	0	922755
1	0.02	0	668613
1	0.0	0	326541
1	0.0	0	736094
1	0.02	0	833336
1	0.0	0	961972
1	0.0	0	505477
1	0.01	0	510428
1	0.05	0	673165
1	0.0	0	268059
1	0.03	0	350532
1	0.0	0	273294
1	0.01	0	661341
1	0.14	0	272617
1	0.01	0	839247
1	0.06	0	713808
1	0.0	0	485975
1	0.0	0	512873
1	0.01	0	644603
1	0.01	0	648986
1	0.0	0	692369
1	0.04	0	397439
1	0.0	0	938090
1	0.0	0	971234
1	0.01	0	747250
1	0.0	0	327371
1	0.0	0	731665
1	0.0	0	967671
1	0.01	0	474848
1	0.07	0	305907
1	0.01	0	546616
1	0.01	0	871260
1	0.0	0	842668
1	0.0	0	320734
1	0.01	0	611768
1	0.01	0	238012
1	0.0	0	861139
1	0.05	0	790837
1	0.01	0	613216
1	0.0	0	597315
1	0.0	0	298642
1	0.01	0	748037
1	0.01	0	430418
1	0.01	0	215253
1	0.01	0	611945
1	0.0	0	305807
1	0.0	0	596753
1	0.04	0	350335
1	0.01	0	751385
1	0.0	0	926946
1	0.0	0	312813
1	0.0	0	390452
1	0.0	0	326603
1	0.01	0	853380
1	0.01	0	381932
1	0.02	0	525604
1	0.01	0	889504
1	0.0	0	782988
1	0.05	0	756249
1	0.0	0	748370
1	0.0	0	521831
1	0.0	0	487902
1	0.0	0	685786
1	0.01	0	798975
1	0.0	0	521977
1	0.0	0	783314
1	0.02	0	528920
1	0.19	1	589074
1	0.01	0	286656
1	0.0	0	234076
1	0.49	1	746540
1	0.0	0	415182
1	0.0	0	807715
1	0.02	0	433178
1	0.27	1	649248
1	0.0	0	124743
1	0.01	0	387681
1	0.0	0	762980
1	0.0	0	849157
1	0.03	0	922046
1	0.0	0	529661
1	0.03	0	445720
1	0.0	0	579151
1	0.0	0	510949
1	0.01	0	868573
1	0.01	0	741488
1	0.01	0	644373
1	0.0	0	688224
1	0.01	0	757959
1	0.0	0	889770
1	0.0	0	488467
1	0.02	0	954381
1	0.0	0	695530
1	0.01	0	830511
1	0.0	0	952891
1	0.02	0	320107
1	0.06	0	743049
1	0.01	0	554098
1	0.0	0	240061
1	0.0	0	204596
1	0.0	0	268979
1	0.0	0	914301
1	0.0	0	884312
1	0.01	0	888377
1	0.0	0	594408
1	0.01	0	605838
1	0.01	0	556857
1	0.03	0	322596
1	0.0	0	796344
1	0.29	1	862122
1	0.01	0	308287
1	0.04	0	278891
1	0.01	0	632610
1	0.05	0	694646
1	0.01	0	552310
1	0.01	0	240673
1	0.02	0	436558
1	0.01	0	763010
1	0.0	0	862711
1	0.0	0	540266
1	0.0	0	269043
1	0.02	0	512272
1	0.0	0	773749
1	0.04	0	554881
1	0.0	0	341062
1	0.0	0	487726
1	0.0	0	750396
1	0.0	0	445711
1	0.01	0	607447
1	0.0	0	659770
1	0.0	0	633384
1	0.0	0	875679
1	0.0	0	849910
1	0.0	0	260526
1	0.05	0	299541
1	0.02	0	175527
1	0.02	0	818165
1	0.06	0	707879
1	0.03	0	828147
1	0.0	0	987987
1	0.0	0	841366
1	0.0	0	826747
1	0.05	0	656785
1	0.0	0	838204
1	0.0	0	430106
1	0.0	0	415462
1	0.02	0	484890
1	0.0	0	606594
1	0.0	0	701287
1	0.0	0	590965
1	0.0	0	647356
1	0.02	0	553247
1	0.0	0	944193
1	0.0	0	836320
1	0.0	0	374724
1	0.01	0	993227
1	0.01	0	608689
1	0.02	0	695580
1	0.0	0	750106
1	0.02	0	1005612
1	0.02	0	625089
1	0.02	0	408246
1	0.0	0	613713
1	0.01	0	167504
1	0.01	0	524857
1	0.01	0	759930
1	0.0	0	257773
1	0.02	0	774643
1	0.0	0	932819
1	0.12	0	482639
1	0.0	0	1001138
1	0.33	1	933271
1	0.03	0	607963
1	0.01	0	859153
1	0.02	0	759198
1	0.0	0	708339
1	0.0	0	773655
1	0.0	0	893006
1	0.0	0	625651
1	0.01	0	245994
1	0.0	0	738362
1	0.02	0	435535
1	0.0	0	885903
1	0.0	0	685419
1	0.0	0	291509
1	0.02	0	256179
1	0.01	0	635087
1	0.0	0	893554
1	0.01	0	342608
1	0.16	1	316573
1	0.01	0	436235
1	0.01	0	907311
1	0.02	0	555421
1	0.0	0	971977
1	0.0	0	383814
1	0.0	0	994509
1	0.0	0	730798
1	0.0	0	531685
1	0.06	0	892642
1	0.01	0	739457
1	0.03	0	175327
1	0.0	0	481581
1	0.0	0	445199
1	0.0	0	842736
1	0.0	0	763506
1	0.0	0	514837
1	0.01	0	433844
1	0.0	0	508797
1	0.0	0	761427
1	0.09	0	285798
1	0.0	0	930193
1	0.02	0	850439
1	0.03	0	296380
1	0.0	0	956860
1	0.07	0	649487
1	0.0	0	932012
1	0.0	0	233546
1	0.0	0	776896
1	0.05	0	454383
1	0.06	0	868949
1	0.0	0	240896
1	0.0	0	724016
1	0.0	0	438507
1	0.0	0	603217
1	0.0	0	725870
1	0.04	0	907376
1	0.0	0	420030
1	0.02	0	923027
1	0.02	0	235331
1	0.05	0	681902
1	0.0	0	764715
1	0.0	0	681864
1	0.06	0	510924
1	0.0	0	716516
1	0.0	0	564492
1	0.0	0	650311
1	0.01	0	632914
1	0.03	0	566450
1	0.0	0	281093
1	0.01	0	360815
1	0.03	0	310000
1	0.01	0	882061
1	0.0	0	437772
1	0.0	0	257512
1	0.0	0	380708
1	0.04	0	308214
1	0.0	0	936195
1	0.0	0	491641
1	0.0	0	672332
1	0.02	0	509364
1	0.06	0	609094
1	0.0	0	543863
1	0.0	0	931984
1	0.0	0	204878
1	0.01	0	556250
1	0.0	0	487600
1	0.0	0	875418
1	0.01	0	783911
1	0.0	0	752588
1	0.0	0	511876
1	0.0	0	698949
1	0.0	0	418761
1	0.01	0	231063
1	0.02	0	427547
1	0.02	0	776847
1	0.0	0	916880
1	0.03	0	495597
1	0.0	0	900570
1	0.0	0	318802
1	0.0	0	770616
1	0.04	0	822712
1	0.01	0	431312
1	0.0	0	347537
1	0.0	0	785486
1	0.0	0	716321
1	0.0	0	881935
1	0.0	0	901391
1	0.02	0	544727
1	0.01	0	694908
1	0.0	0	752771
1	0.0	0	750812
1	0.01	0	831839
1	0.0	0	488939
1	0.0	0	248289
1	0.02	0	721176
1	0.02	0	501808
1	0.0	0	681319
1	0.0	0	819977
1	0.0	0	715200
1	0.02	0	558960
1	0.0	0	777003
1	0.0	0	901160
1	0.02	0	737508
1	0.0	0	1005202
1	0.0	0	547829
1	0.0	0	562903
1	0.0	0	638813
1	0.0	0	588429
1	0.0	0	551749
1	0.01	0	922756
1	0.0	0	677925
1	0.02	0	762711
1	0.0	0	277698
1	0.0	0	611060
1	0.0	0	563562
1	0.0	0	925209
1	0.0	0	625337
1	0.0	0	699012
1	0.15	0	821503
1	0.0	0	823692
1	0.0	0	779418
1	0.03	0	763588
1	0.0	0	289739
1	0.0	0	799326
1	0.05	0	506428
1	0.01	0	726978
1	0.0	0	763186
1	0.02	0	949174
1	0.0	0	291484
1	0.03	0	559913
1	0.01	0	908757
1	0.0	0	757415
1	0.25	1	642742
1	0.0	0	513314
1	0.0	0	685420
1	0.01	0	312386
1	0.0	0	494146
1	0.0	0	826962
1	0.01	0	510802
1	0.02	0	577107
1	0.03	0	486331
1	0.0	0	725950
1	0.0	0	222881
1	0.03	0	488798
1	0.0	0	430260
1	0.02	0	470654
1	0.0	0	496431
1	0.04	0	80843
1	0.02	0	988124
1	0.08	0	531718
1	0.01	0	551587
1	0.0	0	445458
1	0.0	0	579890
1	0.0	0	339176
1	0.0	0	860793
1	0.01	0	432245
1	0.02	0	625983
1	0.01	0	637494
1	0.01	0	603415
1	0.0	0	730713
1	0.0	0	573659
1	0.0	0	664189
1	0.0	0	858990
1	0.01	0	795623
1	0.01	0	318738
1	0.0	0	229959
1	0.0	0	705958
1	0.01	0	488666
1	0.0	0	275667
1	0.0	0	218112
1	0.01	0	745554
1	0.04	0	126585
1	0.04	0	786266
1	0.0	0	285092
1	0.0	0	269685
1	0.13	1	657269
1	0.0	0	805270
1	0.0	0	559087
1	0.0	0	648763
1	0.0	0	673295
1	0.01	0	347838
1	0.0	0	760502
1	0.01	0	788907
1	0.01	0	892020
1	0.0	0	755321
1	0.0	0	738364
1	0.03	0	627454
1	0.02	0	847049
2	0.01	0	923343
2	0.01	0	772258
2	0.0	0	815334
2	0.01	0	517674
2	0.03	0	818029
2	0.0	0	664397
2	0.01	0	473659
2	0.0	0	137067
2	0.01	0	793249
2	0.07	1	939527
2	0.03	0	692625
2	0.0	0	805097
2	0.0	0	721224
2	0.0	0	635294
2	0.0	0	600202
2	0.03	0	578927
2	0.0	0	750648
2	0.02	0	798032
2	0.0	0	986091
2	0.02	0	858017
2	0.04	0	280992
2	0.01	0	478226
2	0.0	0	476126
2	0.0	0	606585
2	0.0	0	157037
2	0.03	0	431361
2	0.0	0	880424
2	0.0	0	814541
2	0.04	0	739371
2	0.02	0	171944
2	0.01	0	849660
2	0.0	0	557665
2	0.02	0	811504
2	0.0	0	670451
2	0.0	0	693189
2	0.0	0	841989
2	0.04	0	639140
2	0.01	0	819151
2	0.0	0	476993
2	0.0	0	555483
2	0.0	0	704829
2	0.0	0	776288
2	0.01	0	811541
2	0.0	0	904813
2	0.01	0	284474
2	0.0	0	637599
2	0.01	0	644334
2	0.01	0	288649
2	0.0	0	543771
2	0.04	0	997364
2	0.0	0	726412
2	0.01	0	489887
2	0.01	0	614956
2	0.01	0	795161
2	0.02	0	683058
2	0.01	0	636290
2	0.0	0	1001389
2	0.0	0	862702
2	0.01	0	658513
2	0.0	0	901158
2	0.01	0	641789
