Fold	Prediction	Truth	Proj&Col
1	0.0	0	371496title
1	0.0	0	606594sex
1	0.0	0	606594title
1	0.0	0	681804source_name
1	0.0	0	204596broker_name
1	0.0	0	204596cell_type
1	0.0	0	204596common_name
1	0.0	0	204596description
1	0.0	0	204596insdc_center_name
1	0.0	0	204596insdc_first_public
1	0.0	0	242387sex
1	0.0	0	242387tissue
1	0.0	0	746540sex
1	0.0	0	746540source_name
1	0.0	0	488556infection
1	0.0	0	816447cell_type
1	0.0	0	317266treatment
1	0.0	0	765711donor
1	0.04	0	909770disease_progression
1	0.0	0	909770patient_diagnosis
1	0.0	0	908757source_name
1	0.01	0	613216histology
1	0.0	0	936195genotype
1	0.0	0	674323cell_type
1	0.0	0	496495cell_type
1	0.01	0	496495disease
1	0.0	0	627597surgery
1	0.0	0	631615title
1	0.0	0	993594title
1	0.0	0	776847title
1	0.0	0	351887cell_type
1	0.0	0	351887title
1	0.07	0	310000tumor_status
1	0.0	0	512232genotype
1	0.0	0	961769cell_type
1	0.0	0	961769title
1	0.0	0	431312disease
1	0.0	0	431312number_cag_repeats
1	0.0	0	904392cell_line
1	0.0	0	904392cell_type
1	0.0	0	904392title
1	0.0	0	489695cell_line
1	0.0	0	489695title
1	0.0	0	865549genotype
1	0.0	0	905445cell_line
1	0.0	0	905445title
1	0.0	0	230625geographic_location
1	0.0	0	230625tissue
1	0.0	0	209081source_name
1	0.0	0	209081tissue
1	0.0	0	422136cell_type
1	0.0	0	670350cell_line
1	0.0	0	175527treatment
1	0.0	0	605790background
1	0.0	0	605790source_name
1	0.0	0	605790title
1	0.0	0	276128source_name
1	0.04	0	350335drug
1	0.0	0	350335title
1	0.0	0	790758cell_line
1	0.0	0	790758experiment_set
1	0.0	0	790758source_name
1	0.0	0	656549tissue
1	0.01	0	656549tki_response
1	0.0	0	899503cell_line
1	0.0	0	750648source_name
1	0.0	0	422464source_name
1	0.0	0	681319source_name
1	0.0	0	817563cell_type
1	0.02	0	817563disease
1	0.0	0	898968sex
1	0.0	0	898968source_name
1	0.0	0	232769cell_type
1	0.0	0	232769title
1	0.0	0	661047biological_replicate_number
1	0.0	0	327287sample_name
1	0.0	0	473508donor_number
1	0.01	0	473508title
1	0.0	0	296593title
1	0.0	0	739709cell_type
1	0.0	0	851072cell_type
1	0.0	0	939719tissue
1	0.0	0	758835title
1	0.01	0	291409treatment/condition
1	0.0	0	844275source_name
1	0.0	0	521712cell_type
1	0.0	0	521712transfected_sirna
1	0.0	0	390452cell_type
1	0.0	0	390452title
1	0.0	0	374730title
1	0.0	0	487361reporter_gene
1	0.0	0	487361rip_antibody
1	0.0	0	666421age
1	0.0	0	666421batch
1	0.0	0	666421cell_type
1	0.0	0	666421sex
1	0.0	0	396759title
1	0.0	0	664189culture_duration
1	0.0	0	517674melanoma_mutation
1	0.0	0	517674molecule_subtype
1	0.0	0	517674source_name
1	0.0	0	517674title
1	0.0	0	880013source_name
1	0.0	0	804509patient
1	0.0	0	780003cell_line
1	0.0	0	727822er-high_tertiles
1	0.0	0	727822source_name
1	0.0	0	555212cell_line
1	0.0	0	555212cell_type
1	0.0	0	656295age
1	0.0	0	656295source_name
1	0.0	0	656295title
1	0.0	0	433844tissue
1	0.0	0	248301cell_line
1	0.01	0	278891isolation_source
1	0.0	0	476141flowcell
1	0.0	0	476141sex
1	0.0	0	932819cell_type
1	0.0	0	932819source_name
1	0.0	0	803375source_name
1	0.0	0	742064source_name
1	0.05	0	742064title
1	0.0	0	490137cell_line
1	0.0	0	490137title
1	0.0	0	326333cell_line
1	0.0	0	326333treatment
1	0.0	0	647400sex
1	0.0	0	647400title
1	0.0	0	607447genotype
1	0.0	0	606034source_name
1	0.0	0	338656participant
1	0.01	0	203916description
1	0.0	0	203916insdc_status
1	0.0	0	389258age
1	0.0	0	389258title
1	0.0	0	863563tissue
1	0.0	0	681864source_name
1	0.0	0	951993treatment
1	0.0	0	231664title
1	0.0	0	644603source_name
1	0.0	0	477352treatment
1	0.0	0	708339title
1	0.01	0	555421source_name
1	0.0	0	558331immune_cluster
1	0.01	0	558331ror_score
1	0.0	0	838955treatment
1	0.0	0	685808tissue
1	0.0	0	724016cell_type
1	0.01	0	666399source_name
1	0.03	0	666399tissue
1	0.0	0	302010source_name
1	0.0	0	790992immune_status
1	0.0	0	790992source_name
1	0.0	0	790992visit
1	0.0	0	545500injected_cell_type
1	0.0	0	430130title
1	0.49	1	430130tnm
1	0.0	0	881935source_name
1	0.0	0	236453title
1	0.0	0	681243source_name
1	0.0	0	681243sub_species
1	0.0	0	681243title
1	0.0	0	990557age
1	0.02	0	990557biomaterial_provider
1	0.0	0	990557title
1	0.0	0	701412age
1	0.0	0	701412sex
1	0.0	0	701412strain
1	0.0	0	80843biosamplemodel
1	0.0	0	481993source_name
1	0.0	0	481993title
1	0.0	0	957898cell_type
1	0.0	0	957898source_name
1	0.0	0	73816510x_version
1	0.0	0	738165age
1	0.13	0	845531age_at_disease_onset
1	0.0	0	845531patient
1	0.0	0	845531region
1	0.0	0	707599genotype
1	0.0	0	707599title
1	0.0	0	541225source_name
1	0.0	0	284884incubation
1	0.0	0	284884source_name
