Fold	Prediction	Truth	Proj&Col
1	0.0	0	371496 cell_type
1	0.0	0	606594 tissue
1	0.01	0	741488 patient
1	0.0	0	741488 tissue
1	0.0	0	681804 source_name
1	0.0	0	681804 title
1	0.0	0	686428 tissue
1	0.02	0	204596 description
1	0.0	0	204596 insdc_first_public
1	0.0	0	204596 insdc_last_update
1	0.01	0	242387 title
1	0.0	0	746540 age
1	0.0	0	746540 cell_type
1	0.0	0	816447 cell_type
1	0.0	0	816447 title
1	0.0	0	506658 title
1	0.05	0	909770 patient_diagnosis
1	0.0	0	908757 cell_line
1	0.0	0	908757 source_name
1	0.0	0	674323 source_name
1	0.0	0	278149 cell_type
1	0.0	0	496495 cell_type
1	0.0	0	627597 source_name
1	0.0	0	631615 cell_line
1	0.02	0	631615 passage
1	0.0	0	993594 tissue
1	0.01	0	993594 title
1	0.0	0	670241 source_name
1	0.0	0	670241 treatment
1	0.01	0	310000 tumor_status
1	0.0	0	637651 age
1	0.0	0	613715 donor
1	0.0	0	682210 cell_line
1	0.0	0	512232 cell_type
1	0.0	0	512232 passage
1	0.0	0	961769 cell_line
1	0.0	0	431312 cell_type
1	0.0	0	431312 number_cag_repeats
1	0.0	0	904392 cell_line
1	0.0	0	904392 genotype
1	0.0	0	904392 treatment
1	0.0	0	476140 batch
1	0.02	0	476140 response
1	0.0	0	476140 source_name
1	0.0	0	476140 tumor_type
1	0.01	0	489695 title
1	0.0	0	865549 cell_line
1	0.0	0	865549 source_name
1	0.0	0	905445 cell_type
1	0.0	0	905445 source_name
1	0.0	0	230625 sample_name
1	0.01	0	230625 strain
1	0.0	0	209081 source_name
1	0.01	0	422136 passage
1	0.01	0	422136 title
1	0.0	0	670350 cell_line
1	0.01	0	175527 treatment
1	0.0	0	656549 cell_line
1	0.0	0	656549 source_name
1	0.0	0	656549 strain
1	0.0	0	899503 treatment
1	0.0	0	750648 cell_type
1	0.0	0	783914 treatment
1	0.0	0	422464 title
1	0.01	0	681319 title
1	0.01	0	681319 treatment_time
1	1.0	1	907311 sex
1	0.01	0	898968 neo-adjuvant_chemotherapy
1	0.01	0	898968 tissue
1	0.0	0	232769 cell_type
1	0.0	0	232769 pathogen_organism
1	0.01	0	661047 mixing_day
1	0.0	0	577553 time
1	0.01	0	327287 tissue
1	0.01	0	473508 title
1	0.0	0	698949 title
1	0.0	0	296593 cell_line
1	0.0	0	296593 treatment
1	0.04	0	739709 cell_type
1	0.0	0	851072 cell_line
1	0.0	0	851072 source_name
1	0.0	0	851072 time
1	0.01	0	939719 age
1	0.0	0	939719 cell_line
1	0.0	0	939719 source_name
1	0.01	0	939719 tissue
1	0.01	0	758835 title
1	0.0	0	611524 title
1	0.0	0	291409 source_name
1	0.0	0	291409 treatment/condition
1	0.0	0	844275 source_name
1	0.0	0	844275 tissue
1	0.01	0	844275 treatment
1	0.0	0	594338 source_name
1	0.0	0	434757 source_name
1	0.01	0	434757 treatment
1	0.0	0	719824 condition
1	0.0	0	487361 cell_line
1	0.0	0	487361 protocol
1	0.0	0	870580 cell_type
1	0.0	0	870580 source_name
1	0.0	0	396759 cell_type
1	0.0	0	517674 cell_type
1	0.01	0	517674 passage
1	0.0	0	880013 source_name
1	0.0	0	804509 cell_type
1	0.0	0	804509 patient
1	0.0	0	804509 source_name
1	0.0	0	804509 title
1	0.0	0	780003 cell_line
1	0.0	0	780003 cell_type
1	0.0	0	727822 pam50
1	0.0	0	727822 source_name
1	0.0	0	555212 title
1	0.0	0	386882 cell_line
1	0.0	0	656295 title
1	0.0	0	433844 source_name
1	0.0	0	248301 cell_line
1	0.0	0	278891 isolation_source
1	0.0	0	476141 libcounts
1	1.0	1	476141 sex
1	0.0	0	994509 cell_line
1	0.02	0	932819 genotype
1	0.03	0	803375 title
1	0.02	0	742064 source_name
1	0.03	0	742064 tissue
1	0.02	0	490137 disease
1	0.0	0	326333 treatment
1	1.0	1	647400 sex
1	0.0	0	613703 source_name
1	0.0	0	607447 source_name
1	0.0	0	606034 cell_line
1	0.0	0	606034 source_name
1	0.11	0	338656 participant
1	0.02	0	203916 insdc_center_alias
1	0.01	0	203916 insdc_center_name
1	1.0	1	389258 sex
1	0.0	0	389258 tissue
1	0.0	0	863563 title
1	0.0	0	681864 source_name
1	0.01	0	681864 title
1	0.0	0	951993 cell_line
1	0.0	0	644603 source_name
1	0.0	0	644603 tissue
1	0.0	0	783935 source_name
1	0.01	0	783935 title
1	0.0	0	308214 phase
1	0.0	0	308214 replicate
1	1.0	1	308214 sex
1	0.0	0	308214 tissue
1	0.01	0	708339 cell_line
1	0.0	0	558331 title
1	0.0	0	724016 cell_type
1	0.0	0	666399 source_name
1	0.0	0	666399 tumour_stage
1	0.0	0	302010 cell_type
1	0.0	0	790992 immune_status
1	0.0	0	790992 source_name
1	0.0	0	790992 visit
1	0.0	0	545500 cell_type
1	0.0	0	430130 title
1	1.0	1	227208 sex
1	0.0	0	926946 title
1	0.0	0	358580 source_name
1	0.0	0	881935 time
1	0.01	0	881935 treatment
1	0.0	0	236453 source_name
1	0.02	0	236453 title
1	0.0	0	681243 cell_line
1	0.0	0	681243 sub_species
1	0.01	0	681243 title
1	0.0	0	662306 differentiation_age
1	0.0	0	990557 isolate
1	0.02	0	990557 tissue
1	0.0	0	990557 title
1	0.03	0	721176 title
1	0.0	0	481993 tissue
1	0.0	0	957898 cell_type
1	0.0	0	957898 source_name
1	0.01	0	738165 age
1	0.0	0	738165 pmi
1	1.0	1	738165 sex
1	0.0	0	845531 disease_duration
1	0.0	0	845531 patient
1	0.01	0	707599 genotype
1	0.0	0	541225 cell_line
1	0.0	0	541225 cell_type
1	0.01	0	670484 source_name
1	0.0	0	670484 tissue
1	0.0	0	805270 cell_line
1	0.0	0	284884 pathogen
1	0.0	0	284884 virus_strain
1	0.0	0	715200 cell_type
1	1.0	1	680365 sex
1	0.01	0	387233 source_name
1	0.0	0	387233 time
1	0.0	0	266341 submitter_handle
1	0.0	0	266341 treatment
1	0.0	0	636290 cell_type
1	0.01	0	647205 genotype
1	0.0	0	647205 seq_platform
1	0.0	0	483239 title
1	0.02	0	312220 attribute_package
1	0.0	0	312220 title
1	0.0	0	856637 title
1	0.0	0	551749 cell_type
1	0.0	0	551749 centre
1	0.0	0	558893 biomaterial_provider
1	0.0	0	448774 cell-type/tissue
1	0.0	0	448774 cell_line
1	0.0	0	473917 shrna
1	0.01	0	473917 title
1	0.0	0	514837 tissue
1	0.01	0	647892 tissue
1	0.0	0	913191 genotype
1	0.0	0	913191 treatment
1	0.01	0	890663 genotype
1	0.0	0	890663 title
1	0.0	0	393854 barcode
1	0.0	0	393854 cell_line
1	0.0	0	393854 tissue_preparation
1	0.0	0	393854 title
1	0.0	0	758684 cell_line
1	0.03	0	657269 race
1	0.01	0	657269 source_name
1	0.0	0	505535 cell_type
1	0.0	0	505535 serum_il-18
1	0.0	0	610631 source_name
1	0.01	0	306694 aire_expression
1	0.02	0	306694 source_name
1	0.0	0	306694 title
1	0.0	0	320397 stimulated_with
1	0.01	0	769089 time
1	0.0	0	698578 title
1	0.0	0	512532 donor
1	0.0	0	512532 source_name
1	0.0	0	528659 source_name
1	0.0	0	842956 cell_line
1	0.0	0	842956 sample_type
1	0.0	0	919922 source_name
1	0.0	0	605838 title
1	0.0	0	124743 cell_type
1	0.0	0	613843 source_name
1	0.0	0	613843 title
1	0.0	0	725019 title
1	0.0	0	417393 cell_line
1	0.01	0	763588 donor
1	0.0	0	79501 title
1	0.0	0	870922 cell_line
1	0.0	0	566450 concentration
1	0.02	0	771536 group
1	0.0	0	321307 source_name
1	0.0	0	848139 sample_name
1	0.05	0	780017 cancer_predisposition
1	0.0	0	780017 diagnosis
1	0.0	0	952891 cell_type
1	0.0	0	952891 genotype
1	0.0	0	970742 treatment
1	0.01	0	798032 tissue
1	0.0	0	875418 type_of_leukemia
1	0.0	0	869549 subject
1	0.03	0	545090 title
1	0.01	0	661769 cell_line
1	0.0	0	661769 source_name
1	0.01	0	529661 source_name
1	0.0	0	529661 title
1	0.0	0	772724 age
1	1.0	1	772724 sex
1	0.01	0	377595 disease
1	0.0	0	662225 mcv_status
1	0.0	0	718555 cell_line
1	0.02	0	718555 source_name
1	0.0	0	736634 source_name
1	0.0	0	736634 tissue
1	0.0	0	473320 cell_line
1	0.0	0	748962 cell_type
1	0.0	0	748962 treatment
1	0.0	0	685770 tissue
1	0.0	0	510707 isolate
1	0.0	0	510707 title
1	0.0	0	327493 source_name
1	0.0	0	751582 source_name
1	0.0	0	751582 treatment
1	0.0	0	476304 treatment
1	0.0	0	641888 cell_line
1	0.0	0	641888 genotype
1	0.0	0	511584 marker_selection
1	0.0	0	511584 source_name
1	0.0	0	609094 patient_id
1	0.01	0	609094 title
1	0.0	0	630915 tissue
1	0.0	0	691472 library_prep_kit
1	0.0	0	691472 title
1	0.0	0	408232 cell_line
1	0.0	0	408232 cell_type
1	0.01	0	602876 adapter
1	0.0	0	725950 cell_line
1	0.0	0	725950 source_name
1	0.02	0	603084 transfection
1	0.0	0	887066 tissue
1	0.0	0	887066 title
1	0.0	0	887066 tumor_area
1	0.0	0	916880 tissue
1	0.0	0	916880 title
1	0.0	0	648415 cell_type
1	0.0	0	648415 source_name
1	0.0	0	648415 title
1	0.01	0	639140 title
1	0.0	0	257773 cell_line
1	0.0	0	810046 genome_type
1	0.0	0	741497 source_name
1	0.0	0	330691 source_name
1	0.0	0	330691 treatment
1	0.0	0	386911 title
1	0.0	0	967299 tissue
1	0.0	0	719160 title
1	0.0	0	523786 genotype
1	0.0	0	523786 source_name
1	0.0	0	523786 strain
1	0.0	0	564843 cell_type
1	0.01	0	564843 passage
1	0.0	0	725437 biological_replicate
1	0.0	0	320734 cell_type
1	0.0	0	320734 tissue
1	0.0	0	509364 tissue
1	0.01	0	509364 title
1	0.0	0	850439 cell_line
1	0.0	0	850439 cell_type
1	0.02	0	850439 source_name
1	0.0	0	208728 title
1	0.0	0	613818 source_name
1	0.0	0	277544 disease
1	0.01	0	413956 pair_id
1	0.0	0	641797 treatment
1	0.0	0	605470 source_name
1	0.01	0	605470 title
1	0.0	0	761785 crispri_knock_down
1	0.0	0	477345 title
1	0.01	0	477345 treatment
1	0.0	0	728452 background_strain
1	0.0	0	728452 treatment
1	0.0	0	261663 tissue
1	0.0	0	631261 cell_line
1	0.0	0	631261 title
1	0.0	0	631261 transfected_with
1	0.01	0	720649 title
1	0.0	0	682576 cell_type
1	0.01	0	917037 source_name
1	0.0	0	917037 tissue
1	0.0	0	434171 source_name
1	0.0	0	623559 replicate
1	0.0	0	844998 source_name
1	0.0	0	844998 title
1	0.0	0	508890 age
1	0.0	0	283302 cell_type
1	0.0	0	995436 title
1	0.0	0	277698 source_name
1	0.0	0	320107 treatment
1	0.0	0	739158 cell_type
1	0.0	0	394226 cell_line
1	0.0	0	688156 genotype
1	0.01	0	697951 age
1	0.0	0	697951 tissue
1	0.03	0	339595 isolate
1	0.0	0	864758 source_name
1	0.01	0	864758 title
1	0.01	0	672332 title
1	0.0	0	736437 source_name
1	0.0	0	808996 timer_phase
1	0.0	0	235876 cell_type
1	0.0	0	235876 title
1	0.0	0	235876 tumor_subtype
1	0.0	0	662380 gene_aberrations
1	0.0	0	662380 tissue
1	0.0	0	858990 title
1	0.0	0	685158 tumor
1	0.0	0	849910 cell_type
1	0.0	0	849910 treatment
1	0.0	0	628655 title
1	0.0	0	516890 genotype
1	0.0	0	212279 ena_last_update
1	0.0	0	212279 insdc_center_alias
1	0.0	0	212279 insdc_last_update
1	0.0	0	212279 insdc_status
1	0.0	0	291411 tissue_type/source
1	0.0	0	261015 cancer_type
1	0.0	0	700973 title
1	0.0	0	543863 cell_type
1	0.0	0	543863 title
1	0.0	0	713795 source_name
1	0.0	0	757134 title
1	0.0	0	476126 cell_type
1	0.0	0	476126 source_name
1	0.01	0	476126 title
1	0.0	0	476126 transplant_result
1	0.0	0	813591 title
1	0.0	0	590696 timepoint
1	0.0	0	590696 tissue
1	0.0	0	590696 treatment
1	0.0	0	719386 time
1	0.0	0	777003 biomaterial_provider
1	0.0	0	757959 batch_of_sequencing
1	0.0	0	757959 source_name
1	0.02	0	486586 genome_edit
1	0.0	0	486586 tissue
1	0.0	0	805097 cell_line
1	0.14	1	661341 supplier/gender
1	0.0	0	777788 cell_line
1	0.0	0	826747 cell_type
1	0.0	0	826747 title
1	1.0	1	600202 sex
1	0.02	0	600202 title
1	0.65	1	579052 sex
1	0.0	0	579052 source_name
1	0.0	0	491641 transfection
1	0.0	0	524857 strain
1	0.0	0	505872 cell_line
1	0.0	0	505872 title
1	0.0	0	656778 title
1	0.0	0	656778 treatment
1	0.0	0	625387 isolate
1	0.0	0	625387 sample_type
1	0.0	0	217992 development_stage
1	0.0	0	516645 title
1	0.0	0	772697 source_name
1	0.0	0	826962 sample_type
1	0.0	0	706021 cell_line
1	0.0	0	204361 broker_name
1	0.0	0	204361 insdc_center_name
1	0.0	0	704002 title
1	0.0	0	780002 treatment
1	0.0	0	759198 subjectid
1	0.0	0	281093 facs
1	0.0	0	281093 treatment
1	0.0	0	631804 description
1	0.0	0	631804 title
1	0.0	0	748388 cell_line
1	0.0	0	748388 source_name
1	0.0	0	748388 treatment
1	0.03	0	672241 age
1	0.0	0	400576 diagnosis
1	1.0	1	400576 sex
1	0.0	0	505341 cell_line
1	0.0	0	505341 cell_type
1	0.0	0	723889 title
1	0.01	0	547353 timepoint
