Fold	Prediction	Truth	Proj&Col
1	0.0	0	681804source_name
1	0.0	0	686428tissue
1	0.0	0	204596broker_name
1	0.0	0	204596cell_type
1	0.0	0	204596common_name
1	0.02	0	204596description
1	0.0	0	204596insdc_center_name
1	0.0	0	746540age
1	0.0	0	488556cell_type
1	0.0	0	488556infection
1	0.0	0	816447source_name
1	0.02	0	816447years_since_diagnosis
1	0.0	0	909770source_name
1	0.0	0	948003cell_type
1	0.0	0	613216title
1	0.0	0	936195source_name
1	0.0	0	674323cell_line
1	0.0	0	674323cell_type
1	0.0	0	674323title
1	0.0	0	674323treatment
1	0.0	0	278149source_name
1	0.0	0	496495source_name
1	0.0	0	627597source_name
1	0.0	0	278040title
1	0.0	0	631615cell_type
1	0.0	0	993594passage
1	0.0	0	993594treatment
1	0.0	0	776847cell_line
1	0.0	0	776847cell_type
1	0.0	0	776847source_name
1	0.0	0	895458source_name
1	0.0	0	895458title
1	0.0	0	351887cell_type
1	0.0	0	351887molecule_subtype
1	0.0	0	637651disease
1	0.0	0	613715source_name
1	0.0	0	682210treatment
1	0.01	0	512232source_name
1	0.0	0	961769cell_line
1	0.0	0	961769cell_type
1	0.0	0	431312source_name
1	0.0	0	904392cell_line
1	0.0	0	904392time
1	0.0	0	476140timepoint
1	0.0	0	476140tumor_type
1	0.0	0	905445time
1	0.0	0	905445treatment
1	0.0	0	230625sex
1	0.0	0	230625title
1	0.0	0	209081diagnosis
1	0.01	0	576876source_name
1	0.0	0	422136passage
1	0.0	0	578094source_name
1	0.0	0	578094tissue
1	0.0	0	175527source_name
1	0.0	0	175527subject
1	0.03	0	175527title
1	0.0	0	605790age
1	0.05	0	276128facs_population
1	0.0	0	350335cell_line
1	0.0	0	350335tissue
1	0.0	0	350335treatment_duration
1	0.0	0	790758experiment_set
1	0.0	0	790758source_name
1	0.0	0	790758treatment
1	0.0	0	656549cell_line
1	0.0	0	656549egfr_mutation_status
1	0.0	0	899503treatment
1	0.0	0	750648cell_line
1	0.0	0	750648cell_type
1	0.0	0	454016cell_type
1	0.0	0	681319title
1	0.0	0	907311age
1	0.0	0	907311title
1	0.0	0	817563cell_type
1	0.0	0	817563disease
1	0.0	0	817563title
1	0.0	0	661047mixing_percent_human
1	0.0	0	577553passages
1	0.0	0	577553source_name
1	0.0	0	698949cell_type
1	0.0	0	739709cell_type
1	0.0	0	739709tissue
1	0.0	0	851072cell_line
1	0.0	0	971977treatment
1	0.0	0	939719source_name
1	0.0	0	611524tissue
1	0.0	0	291409treatment/condition
1	0.0	0	844275tissue
1	0.0	0	844275title
1	0.0	0	515839source_name
1	0.09	0	434757treatment
1	0.0	0	521712cell_type
1	0.0	0	487361protocol
1	0.01	0	487361title
