Fold	Prediction	Truth	Proj&Col
1	0.0	0	371496cell_type
1	0.0	0	606594tissue
1	0.0	0	741488patient
1	0.0	0	741488tissue
1	0.0	0	681804source_name
1	0.0	0	681804title
1	0.0	0	686428tissue
1	0.02	0	204596description
1	0.0	0	204596insdc_first_public
1	0.0	0	204596insdc_last_update
1	0.0	0	242387title
1	0.0	0	746540age
1	0.0	0	746540cell_type
1	0.0	0	816447cell_type
1	0.01	0	816447title
1	0.0	0	506658title
1	0.0	0	909770patient_diagnosis
1	0.0	0	908757cell_line
1	0.0	0	908757source_name
1	0.0	0	674323source_name
1	0.0	0	278149cell_type
1	0.0	0	496495cell_type
1	0.0	0	627597source_name
1	0.0	0	631615cell_line
1	0.0	0	631615passage
1	0.0	0	993594tissue
1	0.03	0	993594title
1	0.0	0	670241source_name
1	0.0	0	670241treatment
1	0.0	0	310000tumor_status
1	0.0	0	637651age
1	0.0	0	613715donor
1	0.0	0	682210cell_line
1	0.0	0	512232cell_type
1	0.0	0	512232passage
1	0.0	0	961769cell_line
1	0.0	0	431312cell_type
1	0.0	0	431312number_cag_repeats
1	0.0	0	904392cell_line
1	0.0	0	904392genotype
1	0.0	0	904392treatment
1	0.0	0	476140batch
1	0.0	0	476140response
1	0.0	0	476140source_name
1	0.0	0	476140tumor_type
1	0.02	0	489695title
1	0.0	0	865549cell_line
1	0.0	0	865549source_name
1	0.0	0	905445cell_type
1	0.0	0	905445source_name
1	0.03	0	230625sample_name
1	0.12	0	230625strain
1	0.0	0	209081source_name
1	0.0	0	422136passage
1	0.0	0	422136title
1	0.0	0	670350cell_line
1	0.0	0	175527treatment
1	0.0	0	656549cell_line
1	0.0	0	656549source_name
1	0.0	0	656549strain
1	0.0	0	899503treatment
1	0.0	0	750648cell_type
1	0.0	0	783914treatment
1	0.0	0	422464title
1	0.0	0	681319title
1	0.0	0	681319treatment_time
1	1.0	1	907311sex
1	0.01	0	898968neo-adjuvant_chemotherapy
1	0.0	0	898968tissue
1	0.0	0	232769cell_type
1	0.0	0	232769pathogen_organism
1	0.0	0	661047mixing_day
1	0.0	0	577553time
1	0.0	0	327287tissue
1	0.0	0	473508title
1	0.0	0	698949title
1	0.0	0	296593cell_line
1	0.0	0	296593treatment
1	0.0	0	739709cell_type
1	0.0	0	851072cell_line
1	0.0	0	851072source_name
1	0.0	0	851072time
1	0.0	0	939719age
1	0.0	0	939719cell_line
1	0.0	0	939719source_name
1	0.0	0	939719tissue
1	0.0	0	758835title
1	0.0	0	611524title
1	0.0	0	291409source_name
1	0.0	0	291409treatment/condition
1	0.0	0	844275source_name
1	0.0	0	844275tissue
1	0.0	0	844275treatment
1	0.0	0	594338source_name
1	0.0	0	434757source_name
1	0.0	0	434757treatment
1	0.0	0	719824condition
1	0.0	0	487361cell_line
1	0.0	0	487361protocol
1	0.0	0	870580cell_type
1	0.0	0	870580source_name
1	0.0	0	396759cell_type
1	0.0	0	517674cell_type
1	0.0	0	517674passage
1	0.0	0	880013source_name
1	0.0	0	804509cell_type
1	0.0	0	804509patient
1	0.0	0	804509source_name
1	0.0	0	804509title
1	0.0	0	780003cell_line
1	0.0	0	780003cell_type
1	0.01	0	727822pam50
1	0.0	0	727822source_name
1	0.0	0	555212title
1	0.0	0	386882cell_line
1	0.0	0	656295title
1	0.0	0	433844source_name
1	0.0	0	248301cell_line
1	0.0	0	278891isolation_source
1	0.0	0	476141libcounts
1	1.0	1	476141sex
1	0.0	0	994509cell_line
1	0.0	0	932819genotype
1	0.0	0	803375title
1	0.0	0	742064source_name
1	0.0	0	742064tissue
1	0.02	0	490137disease
1	0.0	0	326333treatment
1	1.0	1	647400sex
1	0.0	0	613703source_name
1	0.0	0	607447source_name
1	0.0	0	606034cell_line
1	0.0	0	606034source_name
1	0.0	0	338656participant
1	0.0	0	203916insdc_center_alias
1	0.01	0	203916insdc_center_name
1	1.0	1	389258sex
1	0.0	0	389258tissue
1	0.0	0	863563title
1	0.0	0	681864source_name
1	0.0	0	681864title
1	0.0	0	951993cell_line
1	0.0	0	644603source_name
1	0.0	0	644603tissue
1	0.0	0	783935source_name
1	0.0	0	783935title
1	0.0	0	308214phase
1	0.0	0	308214replicate
1	1.0	1	308214sex
1	0.0	0	308214tissue
1	0.0	0	708339cell_line
1	0.0	0	558331title
1	0.0	0	724016cell_type
1	0.0	0	666399source_name
1	0.0	0	666399tumour_stage
1	0.0	0	302010cell_type
1	0.0	0	790992immune_status
1	0.0	0	790992source_name
1	0.0	0	790992visit
1	0.0	0	545500cell_type
1	0.0	0	430130title
1	1.0	1	227208sex
1	0.02	0	926946title
1	0.0	0	358580source_name
1	0.0	0	881935time
1	0.0	0	881935treatment
1	0.0	0	236453source_name
1	0.0	0	236453title
1	0.0	0	681243cell_line
1	0.0	0	681243sub_species
1	0.01	0	681243title
1	0.0	0	662306differentiation_age
1	0.0	0	990557isolate
1	0.0	0	990557tissue
1	0.0	0	990557title
1	0.01	0	721176title
1	0.0	0	481993tissue
1	0.0	0	957898cell_type
1	0.0	0	957898source_name
1	0.0	0	738165age
1	0.0	0	738165pmi
1	1.0	1	738165sex
1	0.0	0	845531disease_duration
1	0.0	0	845531patient
1	0.0	0	707599genotype
1	0.0	0	541225cell_line
1	0.0	0	541225cell_type
1	0.03	0	670484source_name
1	0.0	0	670484tissue
1	0.0	0	805270cell_line
1	0.02	0	284884pathogen
1	0.0	0	284884virus_strain
1	0.0	0	715200cell_type
1	1.0	1	680365sex
1	0.0	0	387233source_name
1	0.0	0	387233time
1	0.01	0	266341submitter_handle
1	0.0	0	266341treatment
1	0.0	0	636290cell_type
1	0.0	0	647205genotype
1	0.0	0	647205seq_platform
1	0.0	0	483239title
1	0.0	0	312220attribute_package
1	0.0	0	312220title
1	0.01	0	856637title
1	0.0	0	551749cell_type
1	0.0	0	551749centre
1	0.01	0	558893biomaterial_provider
1	0.0	0	448774cell-type/tissue
1	0.0	0	448774cell_line
1	0.0	0	473917shrna
1	0.0	0	473917title
1	0.0	0	514837tissue
1	0.0	0	647892tissue
1	0.0	0	913191genotype
1	0.04	0	913191treatment
1	0.0	0	890663genotype
1	0.0	0	890663title
1	0.0	0	393854barcode
1	0.0	0	393854cell_line
1	0.0	0	393854tissue_preparation
1	0.0	0	393854title
1	0.0	0	758684cell_line
1	0.0	0	657269race
1	0.0	0	657269source_name
1	0.0	0	505535cell_type
1	0.0	0	505535serum_il-18
1	0.0	0	610631source_name
1	0.0	0	306694aire_expression
1	0.0	0	306694source_name
1	0.0	0	306694title
1	0.0	0	320397stimulated_with
1	0.0	0	769089time
1	0.0	0	698578title
1	0.0	0	512532donor
1	0.0	0	512532source_name
1	0.0	0	528659source_name
1	0.0	0	842956cell_line
1	0.0	0	842956sample_type
1	0.0	0	919922source_name
1	0.0	0	605838title
1	0.0	0	124743cell_type
1	0.0	0	613843source_name
1	0.0	0	613843title
1	0.0	0	725019title
1	0.0	0	417393cell_line
1	0.0	0	763588donor
1	0.01	0	79501title
1	0.01	0	870922cell_line
1	0.0	0	566450concentration
1	0.0	0	771536group
1	0.0	0	321307source_name
1	0.0	0	848139sample_name
1	0.0	0	780017cancer_predisposition
1	0.0	0	780017diagnosis
1	0.0	0	952891cell_type
1	0.0	0	952891genotype
1	0.0	0	970742treatment
1	0.0	0	798032tissue
1	0.0	0	875418type_of_leukemia
1	0.0	0	869549subject
1	0.0	0	545090title
1	0.0	0	661769cell_line
1	0.0	0	661769source_name
1	0.0	0	529661source_name
1	0.01	0	529661title
1	0.0	0	772724age
1	1.0	1	772724sex
1	0.04	0	377595disease
1	0.0	0	662225mcv_status
1	0.0	0	718555cell_line
1	0.0	0	718555source_name
1	0.0	0	736634source_name
1	0.0	0	736634tissue
1	0.0	0	473320cell_line
1	0.0	0	748962cell_type
1	0.0	0	748962treatment
1	0.01	0	685770tissue
1	0.02	0	510707isolate
1	0.0	0	510707title
1	0.0	0	327493source_name
1	0.0	0	751582source_name
1	0.0	0	751582treatment
1	0.0	0	476304treatment
1	0.0	0	641888cell_line
1	0.0	0	641888genotype
1	0.0	0	511584marker_selection
1	0.0	0	511584source_name
1	0.0	0	609094patient_id
1	0.0	0	609094title
1	0.0	0	630915tissue
1	0.0	0	691472library_prep_kit
1	0.0	0	691472title
1	0.0	0	408232cell_line
1	0.0	0	408232cell_type
1	0.0	0	602876adapter
1	0.0	0	725950cell_line
1	0.0	0	725950source_name
1	0.0	0	603084transfection
1	0.0	0	887066tissue
1	0.0	0	887066title
1	0.0	0	887066tumor_area
1	0.0	0	916880tissue
1	0.0	0	916880title
1	0.0	0	648415cell_type
1	0.0	0	648415source_name
1	0.0	0	648415title
1	0.01	0	639140title
1	0.0	0	257773cell_line
1	0.0	0	810046genome_type
1	0.0	0	741497source_name
1	0.0	0	330691source_name
1	0.0	0	330691treatment
1	0.0	0	386911title
1	0.0	0	967299tissue
1	0.0	0	719160title
1	0.0	0	523786genotype
1	0.0	0	523786source_name
1	0.0	0	523786strain
1	0.0	0	564843cell_type
1	0.0	0	564843passage
1	0.0	0	725437biological_replicate
1	0.0	0	320734cell_type
1	0.0	0	320734tissue
1	0.0	0	509364tissue
1	0.0	0	509364title
1	0.0	0	850439cell_line
1	0.0	0	850439cell_type
1	0.0	0	850439source_name
1	0.02	0	208728title
1	0.0	0	613818source_name
1	0.0	0	277544disease
1	0.0	0	413956pair_id
1	0.0	0	641797treatment
1	0.0	0	605470source_name
1	0.0	0	605470title
1	0.01	0	761785crispri_knock_down
1	0.0	0	477345title
1	0.01	0	477345treatment
1	0.0	0	728452background_strain
1	0.0	0	728452treatment
1	0.0	0	261663tissue
1	0.0	0	631261cell_line
1	0.0	0	631261title
1	0.01	0	631261transfected_with
1	0.01	0	720649title
1	0.0	0	682576cell_type
1	0.0	0	917037source_name
1	0.0	0	917037tissue
1	0.0	0	434171source_name
1	0.0	0	623559replicate
1	0.0	0	844998source_name
1	0.0	0	844998title
1	0.0	0	508890age
1	0.0	0	283302cell_type
1	0.0	0	995436title
1	0.0	0	277698source_name
1	0.0	0	320107treatment
1	0.0	0	739158cell_type
1	0.0	0	394226cell_line
1	0.0	0	688156genotype
1	0.0	0	697951age
1	0.0	0	697951tissue
1	0.0	0	339595isolate
1	0.0	0	864758source_name
1	0.0	0	864758title
1	0.0	0	672332title
1	0.0	0	736437source_name
1	0.01	0	808996timer_phase
1	0.0	0	235876cell_type
1	0.01	0	235876title
1	0.01	0	235876tumor_subtype
1	0.0	0	662380gene_aberrations
1	0.0	0	662380tissue
1	0.0	0	858990title
1	0.0	0	685158tumor
1	0.0	0	849910cell_type
1	0.0	0	849910treatment
1	0.0	0	628655title
1	0.0	0	516890genotype
1	0.0	0	212279ena_last_update
1	0.01	0	212279insdc_center_alias
1	0.0	0	212279insdc_last_update
1	0.0	0	212279insdc_status
1	0.0	0	291411tissue_type/source
1	0.0	0	261015cancer_type
1	0.0	0	700973title
1	0.0	0	543863cell_type
1	0.0	0	543863title
1	0.0	0	713795source_name
1	0.0	0	757134title
1	0.0	0	476126cell_type
1	0.0	0	476126source_name
1	0.0	0	476126title
1	0.01	0	476126transplant_result
1	0.0	0	813591title
1	0.0	0	590696timepoint
1	0.0	0	590696tissue
1	0.0	0	590696treatment
1	0.0	0	719386time
1	0.0	0	777003biomaterial_provider
1	0.0	0	757959batch_of_sequencing
1	0.0	0	757959source_name
1	0.0	0	486586genome_edit
1	0.0	0	486586tissue
1	0.0	0	805097cell_line
1	0.49	1	661341supplier/gender
1	0.0	0	777788cell_line
1	0.0	0	826747cell_type
1	0.0	0	826747title
1	1.0	1	600202sex
1	0.0	0	600202title
1	0.98	1	579052sex
1	0.0	0	579052source_name
1	0.0	0	491641transfection
1	0.0	0	524857strain
1	0.0	0	505872cell_line
1	0.0	0	505872title
1	0.01	0	656778title
1	0.0	0	656778treatment
1	0.0	0	625387isolate
1	0.0	0	625387sample_type
1	0.0	0	217992development_stage
1	0.0	0	516645title
1	0.0	0	772697source_name
1	0.0	0	826962sample_type
1	0.0	0	706021cell_line
1	0.0	0	204361broker_name
1	0.01	0	204361insdc_center_name
1	0.0	0	704002title
1	0.0	0	780002treatment
1	0.0	0	759198subjectid
1	0.0	0	281093facs
1	0.0	0	281093treatment
1	0.0	0	631804description
1	0.0	0	631804title
1	0.0	0	748388cell_line
1	0.0	0	748388source_name
1	0.0	0	748388treatment
1	0.0	0	672241age
1	0.0	0	400576diagnosis
1	1.0	1	400576sex
1	0.0	0	505341cell_line
1	0.0	0	505341cell_type
1	0.0	0	723889title
1	0.0	0	547353timepoint
1	0.0	0	547353treatment
1	0.0	0	892959genotype
1	0.0	0	725706source_name
1	0.0	0	725706subject_id
1	0.01	0	725706tissue
1	1.0	1	735940sex
1	0.0	0	510388disease
1	0.0	0	516665source_name
1	0.0	0	296059cell_line
1	0.0	0	296059source_name
1	0.0	0	718187cancer_type
1	0.0	0	448415title
1	0.0	0	448415treatment
1	0.0	0	851762source_name
1	0.0	0	745554treatment_type
1	0.0	0	649268cell_type
1	0.0	0	649268source_name
1	0.0	0	649268title
1	0.0	0	649268treatment
1	0.0	0	925239cell_type
1	0.0	0	925239source_name
1	0.0	0	925239tissue
1	0.0	0	925239title
1	0.0	0	925239treatment
1	0.0	0	743892source_name
1	0.0	0	743892title
1	0.0	0	737508tissue
1	0.0	0	737508title
1	0.0	0	558389cell_type
1	0.0	0	304982cell_type
1	0.0	0	304982title
1	0.0	0	831784cell_line
