Importance	Ngram	Frequency in sex Columns	Frequency in Non sex Columns
1	ex_	0.9346153846153846	0.0081799591002045
2	sex	0.9346153846153846	0.00029214139643587495
3	ale	0.9961538461538462	0.002044989775051125
4	mal	0.9961538461538462	0.036225533158048495
5	ema	0.7538461538461538	0.0037978381536663743
6	fem	0.7538461538461538	0.0006816632583503749
7	le_	0.9961538461538462	0.24179569578342586
8	itl	0.019230769230769232	0.1936897458369851
9	tit	0.019230769230769232	0.19739020352517286
10	cel	0.007692307692307693	0.2930178206251826
11	tle	0.019230769230769232	0.1944687895608141
12	lin	0.0038461538461538464	0.13428766189502386
13	age	0.007692307692307693	0.052195929496542996
14	sam	0.0038461538461538464	0.030869607556724122
15	al_	0.023076923076923078	0.14129905540948487
16	ue_	0.0038461538461538464	0.08511052682831824
17	ine	0.019230769230769232	0.14061739215113447
18	ge_	0.007692307692307693	0.04440549225825299
19	nam	0.007692307692307693	0.17947219787710586
20	l_l	0.007692307692307693	0.12562080046742624
21	pe_	0.0	0.15668516895510762
22	e_n	0.007692307692307693	0.1788879150842341
23	iss	0.011538461538461539	0.08627909241406174
24	ll_	0.007692307692307693	0.23624500925114422
25	rce	0.007692307692307693	0.1781088713604051
26	typ	0.0	0.15580874476579998
27	ype	0.0	0.15610088616223586
28	tio	0.015384615384615385	0.06602395559450774
29	rna	0.011538461538461539	0.057649235563345995
30	ssu	0.0038461538461538464	0.08472100496640374
31	d_f	0.038461538461538464	0.012659460512221249
32	nt_	0.0038461538461538464	0.12834745350082774
33	sue	0.0038461538461538464	0.0845262440354465
34	our	0.007692307692307693	0.18736001558087448
35	me_	0.007692307692307693	0.19622163793942934
36	ell	0.007692307692307693	0.29720518064076346
37	ion	0.015384615384615385	0.08102054727821599
38	cor	0.0	0.014899211218229623
39	rol	0.0038461538461538464	0.07449605609114812
40	nor	0.015384615384615385	0.03632291362352712
41	con	0.007692307692307693	0.08939526730937773
42	rep	0.0	0.056480669977602496
43	ce_	0.007692307692307693	0.1862888304606096
44	mat	0.0038461538461538464	0.021813224267211998
45	ate	0.023076923076923078	0.09952283571915474
46	na_	0.019230769230769232	0.050248320186970494
47	ult	0.007692307692307693	0.02697438893757912
48	urc	0.007692307692307693	0.17713506670561885
49	dis	0.0038461538461538464	0.026779628006621873
50	p2_	0.0	0.03534910896874087
51	ne_	0.011538461538461539	0.15444541824909924
52	ple	0.0038461538461538464	0.04060765410458662
53	ntr	0.011538461538461539	0.08890836498198461
54	led	0.019230769230769232	0.004674262342973999
55	on_	0.015384615384615385	0.09416691011783036
56	ls_	0.0038461538461538464	0.10400233713117149
57	ent	0.007692307692307693	0.13974096796182686
58	l_t	0.0	0.10760541435388062
59	seq	0.0038461538461538464	0.025124160093485247
60	ati	0.019230769230769232	0.07985198169247248
61	us_	0.007692307692307693	0.03379102152108287
62	in_	0.023076923076923078	0.057551855097867366
63	se_	0.015384615384615385	0.04216574155224462
64	sou	0.007692307692307693	0.17684292530918297
65	sta	0.019230769230769232	0.04664524296426137
66	sag	0.0	0.011198753530041874
67	ng_	0.015384615384615385	0.04411335086181712
68	gen	0.019230769230769232	0.058817801149089494
69	nde	0.019230769230769232	0.004284740481059499
70	ma_	0.011538461538461539	0.048884993670269744
71	ed_	0.057692307692307696	0.12883435582822086
72	ol_	0.0	0.07264582724705423
73	amp	0.0038461538461538464	0.0323303145389035
74	es_	0.007692307692307693	0.05005355925601324
75	er_	0.03461538461538462	0.08189697146752362
76	dul	0.007692307692307693	0.007985198169247249
77	not	0.026923076923076925	0.04421073132729574
78	te_	0.023076923076923078	0.05940208394196124
79	tro	0.0038461538461538464	0.08520790729379686
