Fold	Prediction	Truth	Proj&Col
1	0.0	0	611524
1	0.03	0	694942
1	0.03	0	552270
1	0.0	0	678462
1	0.11	0	477765
1	0.0	0	421491
1	0.0	0	793249
1	0.0	0	200629
1	0.01	0	627495
1	0.0	0	754394
1	0.03	0	606268
1	0.01	0	942129
1	0.0	0	561307
1	0.02	0	320397
1	0.0	0	870102
1	0.0	0	655701
1	0.0	0	635294
1	0.01	0	758030
1	0.01	0	798032
1	0.01	0	680585
1	0.01	0	476126
1	0.0	0	668613
1	0.0	0	326541
1	0.0	0	521694
1	0.01	0	681609
1	0.0	0	849660
1	0.0	0	505477
1	0.0	0	563836
1	0.03	0	725706
1	0.0	0	530238
1	0.0	0	693189
1	0.0	0	520804
1	0.0	0	639513
1	0.0	0	557800
1	0.01	0	284474
1	0.03	0	299254
1	0.0	0	254103
1	0.0	0	694106
1	0.0	0	725437
1	0.0	0	847244
1	0.01	0	971234
1	0.0	0	601922
1	0.01	0	731128
1	0.02	0	510707
1	0.02	0	614956
1	0.0	0	719783
1	0.0	0	667032
1	0.0	0	636290
1	0.05	0	719362
1	0.02	0	640099
1	0.0	0	860305
1	0.0	0	613216
1	0.02	0	278767
1	0.01	0	718552
1	0.01	0	298642
1	0.05	0	679818
1	0.0	0	394226
1	0.0	0	856285
1	0.0	0	706417
1	0.0	0	699857
1	0.0	0	909815
1	0.06	0	948350
1	0.01	0	527281
1	0.03	1	945247
1	0.0	0	431445
1	0.01	0	686976
1	0.0	0	636976
1	0.0	0	720011
1	0.0	0	344796
1	0.01	0	831784
1	0.0	0	607812
1	0.0	0	946740
1	0.0	0	926565
1	0.0	0	516665
1	0.0	0	557503
1	0.0	0	909230
1	0.03	0	717272
1	0.0	0	743892
1	0.0	0	533638
1	0.0	0	940796
1	0.0	0	487902
1	0.02	0	751582
1	0.0	0	699452
1	0.02	0	511584
1	0.01	0	830914
1	0.0	0	477332
1	0.0	0	286656
1	0.0	0	843675
1	0.0	0	931236
1	0.02	0	760307
1	0.03	0	737360
1	0.02	0	868372
1	0.02	0	591799
1	0.0	0	390639
1	0.01	0	795499
1	0.01	0	648920
1	0.04	0	663168
1	0.01	0	579151
1	0.0	0	749014
1	0.0	0	580366
1	0.01	0	778984
1	0.0	0	839074
1	0.0	0	741488
1	0.01	0	882355
1	0.0	0	902285
1	0.0	0	725019
1	0.02	0	559145
1	0.0	0	649268
1	0.01	0	351887
1	0.0	0	450648
1	0.02	0	688156
1	0.05	0	830511
1	0.0	0	952891
1	0.0	0	638100
1	0.0	0	926489
1	0.34	1	430130
1	0.0	0	811447
1	0.0	0	240061
1	0.0	0	914301
1	0.01	0	387730
1	0.0	0	706673
1	0.05	0	791909
1	0.06	0	634074
1	0.03	0	820750
1	0.0	0	605838
1	0.01	0	432559
1	0.0	0	767076
1	0.04	0	664962
1	0.0	0	529973
1	0.0	0	732665
1	0.02	0	434757
1	0.0	0	552310
1	0.0	0	900553
1	0.02	0	341401
1	0.0	0	627949
1	0.0	0	892650
1	0.02	0	891530
1	0.05	0	281789
1	0.01	0	532417
1	0.0	0	512272
1	0.03	0	818664
1	0.01	0	721935
1	0.0	0	341062
1	0.0	0	739201
1	0.0	0	327493
1	0.01	0	531319
1	0.0	0	659770
1	0.05	0	806920
1	0.05	0	925560
1	0.0	0	939113
1	0.0	0	875679
1	0.0	0	142511
1	0.0	0	940739
1	0.0	0	868378
1	0.01	0	736634
1	0.0	0	282049
1	0.0	0	393897
1	0.0	0	639791
1	0.03	0	805556
1	0.09	0	400576
1	0.03	0	434658
1	0.01	0	272556
1	0.05	0	791322
1	0.0	0	773957
1	0.0	0	762864
1	0.0	0	902763
1	0.03	0	438583
1	0.0	0	579894
1	0.0	0	483239
1	0.01	0	647356
1	0.0	0	553247
1	0.02	0	929955
1	0.01	0	520852
1	0.0	0	326333
1	0.01	0	331131
1	0.0	0	608689
1	0.0	0	750106
1	0.01	0	613703
1	0.0	0	374790
1	0.04	0	487456
1	0.0	0	863114
1	0.02	0	674782
1	0.0	0	798667
1	0.05	0	814493
1	0.06	0	686939
1	0.09	0	805525
1	0.05	0	759930
1	0.01	0	543671
1	0.01	0	482639
1	0.0	0	1001138
1	0.0	0	748427
1	0.0	0	253774
1	0.01	0	495356
1	0.0	0	616292
1	0.01	0	679028
1	0.01	0	708339
1	0.01	0	670350
1	0.01	0	512532
1	0.02	0	942939
1	0.01	0	638927
1	0.01	0	168984
1	0.0	0	358580
