Fold	Prediction	Truth	Proj&Col
1	0.01	0	923343
1	0.02	0	276014
1	0.08	0	611524
1	0.6	1	637651
1	0.0	0	815334
1	0.01	0	473659
1	0.01	0	524002
1	0.05	0	675115
1	0.0	0	341990
1	0.07	0	791906
1	0.03	0	544431
1	0.06	0	421491
1	0.53	1	939527
1	0.0	0	818329
1	0.06	0	186683
1	0.01	0	854948
1	0.09	0	744255
1	0.07	0	320397
1	0.0	0	807588
1	0.03	0	578927
1	0.05	0	758030
1	0.02	0	750648
1	0.02	0	948380
1	0.07	0	481993
1	0.09	0	680585
1	0.04	0	674361
1	0.07	0	297366
1	0.53	1	258216
1	0.01	0	880424
1	0.05	0	833336
1	0.02	0	557665
1	0.12	0	811504
1	0.01	0	841989
1	0.24	0	901943
1	0.03	0	268059
1	0.04	0	704829
1	0.03	0	776288
1	0.01	0	273294
1	0.02	0	662777
1	0.06	0	811541
1	0.1	0	777788
1	0.14	0	486816
1	0.0	0	1000794
1	0.0	0	501907
1	0.96	1	338347
1	0.0	0	296593
1	0.0	0	489887
1	0.57	1	701412
1	0.52	1	842762
1	0.07	0	957897
1	0.12	0	354381
1	0.0	0	327371
1	0.01	0	244434
1	0.09	0	636290
1	0.0	0	1001389
1	0.06	0	658513
1	0.05	0	842668
1	0.17	0	719362
1	0.02	0	564556
1	0.02	0	860305
1	0.05	0	597315
1	0.06	0	231664
1	0.51	1	748037
1	0.0	0	587724
1	0.06	0	79987
1	0.76	1	523380
1	0.01	0	379049
1	0.11	0	350335
1	0.01	0	287924
1	0.02	0	751385
1	0.04	0	906976
1	0.01	0	758835
1	0.01	0	390452
1	0.07	0	734159
1	0.01	0	926565
1	0.11	0	889504
1	0.13	0	782878
1	0.03	0	756028
1	0.06	0	910541
1	0.03	0	816905
1	0.01	0	940796
1	0.96	1	487902
1	0.03	0	771536
1	0.06	0	751582
1	0.03	0	521977
1	0.1	0	797951
1	0.0	0	510653
1	0.03	0	843675
1	0.64	1	746540
1	0.08	0	807715
1	0.5	1	736056
1	0.01	0	431399
1	0.35	1	868372
1	0.02	0	556616
1	0.07	0	124743
1	0.05	0	488269
1	0.29	0	389756
1	0.01	0	523628
1	0.01	0	842655
1	0.25	0	505872
1	0.04	0	601733
1	0.02	0	580366
1	0.16	0	778984
1	0.07	0	741488
1	0.05	0	882355
1	0.12	0	232769
1	0.04	0	559145
1	0.13	0	614539
1	0.0	0	649268
1	0.02	0	768466
1	0.52	1	929897
1	0.01	0	889770
1	0.05	0	488467
1	0.16	0	954381
1	0.65	1	413956
1	0.05	0	727547
1	0.04	0	952891
1	0.57	1	320107
1	0.41	1	510086
1	0.25	1	647400
1	0.03	0	401705
1	0.63	1	791909
1	0.07	0	763155
1	0.47	1	316676
1	0.01	0	856637
1	0.05	0	415060
1	0.12	0	909770
1	0.08	0	549254
1	0.06	0	1011308
1	0.07	0	448774
1	0.02	0	867186
1	0.01	0	529973
1	0.04	0	449060
1	0.11	0	529360
1	0.28	0	845531
1	0.24	0	883765
1	0.0	0	540266
1	0.05	0	532417
1	0.16	0	872157
1	0.06	0	870580
1	0.05	0	693815
1	0.07	0	777916
1	0.02	0	516645
1	0.1	0	869549
1	0.0	0	317296
1	0.19	0	806920
1	0.01	0	925560
1	0.11	0	939113
1	0.08	0	413568
1	0.02	0	173241
1	0.0	0	379623
1	0.03	0	868378
1	0.11	0	325833
1	0.07	0	393897
1	0.06	0	311600
1	0.06	0	770077
1	0.1	0	714933
1	0.05	0	474387
1	0.04	0	547719
1	0.0	0	988484
1	0.07	0	230454
1	0.06	0	987987
1	0.09	0	692173
1	0.03	0	838204
1	0.54	1	673437
1	0.0	0	803242
1	0.06	0	606471
1	0.03	0	697955
1	0.01	0	693399
1	0.02	0	550993
1	0.0	0	579894
1	0.62	1	510864
1	0.05	0	268220
1	0.18	0	793025
1	0.04	0	868757
1	0.08	0	896533
1	0.0	0	944193
1	0.31	0	812605
1	0.03	0	631735
1	0.08	0	836320
1	0.05	0	374724
1	0.06	0	695580
1	0.04	0	625089
1	0.05	0	761097
1	0.01	0	613713
1	0.3	0	218072
1	0.07	0	783541
1	0.0	0	257773
1	0.01	0	543671
1	0.58	1	1001138
1	0.05	0	801235
1	0.06	0	785887
1	0.12	0	687239
1	0.0	0	813591
1	0.08	0	576876
1	0.48	1	493229
1	0.07	0	893006
1	0.36	1	245994
1	0.0	0	738362
1	0.05	0	658114
1	0.06	0	358580
1	0.13	0	435535
1	0.96	1	491776
1	0.03	0	593206
1	0.01	0	1006058
1	0.04	0	417460
1	0.45	0	893554
1	0.05	0	528760
1	0.6	1	316573
1	0.0	0	542934
1	0.04	0	345197
1	0.08	0	706698
1	0.09	0	763187
1	0.05	0	291411
1	0.01	0	383814
1	0.04	0	681243
1	0.16	0	403822
1	0.41	1	872477
1	0.0	0	615358
1	0.01	0	454907
1	0.08	0	559869
1	0.0	0	606047
1	0.0	0	646081
1	0.0	0	780003
1	0.07	0	634842
1	0.06	0	445199
1	0.03	0	597049
1	0.1	0	716264
1	0.13	0	433844
1	0.13	0	641797
1	0.0	0	761427
1	0.04	0	930193
1	0.04	0	595385
1	0.44	1	649487
1	0.03	0	925239
1	0.62	1	698086
1	0.54	1	577035
1	0.08	0	627597
1	0.01	0	240896
1	0.02	0	147137
1	0.01	0	724016
1	0.09	0	772289
1	0.14	0	790758
1	0.07	0	625516
1	0.03	0	797391
1	0.23	0	327287
1	0.0	0	541846
1	0.03	0	658804
1	0.1	0	904775
1	0.09	0	587105
1	0.0	0	515740
1	0.07	0	488556
1	0.03	0	764715
1	0.04	0	975122
1	0.16	0	510924
1	0.01	0	669018
1	0.46	1	891766
1	0.73	1	547607
1	0.03	0	703841
1	0.1	0	551633
1	0.07	0	833479
1	0.04	0	493818
1	0.02	0	360815
1	0.37	0	275262
1	0.01	0	292831
1	0.75	1	316923
1	0.6	1	380708
1	0.05	0	565678
1	0.35	0	558893
1	0.57	1	308214
1	0.07	0	936195
1	0.01	0	521712
1	0.06	0	739158
1	0.06	0	757410
1	0.48	1	769141
1	0.1	0	540838
1	0.54	1	638272
1	0.09	0	648415
1	0.35	1	204878
1	0.0	0	594951
1	0.18	0	674580
1	0.02	0	699045
1	0.11	0	258058
1	0.1	0	484873
1	0.0	0	698949
1	0.07	0	231063
1	0.04	0	833297
1	0.0	0	427547
1	0.01	0	255049
1	0.03	0	547353
1	0.01	0	612310
1	0.05	0	917037
1	0.12	0	719824
1	0.23	0	822712
1	0.04	0	637307
1	0.01	0	129797
1	0.48	1	780017
1	0.0	0	785486
1	0.13	0	473993
1	0.01	0	901391
1	0.07	0	544727
1	0.05	0	694908
1	0.07	0	181058
1	0.2	0	689544
1	0.09	0	471825
1	0.05	0	763218
1	0.13	0	681319
1	0.08	0	392445
1	0.02	0	557376
1	0.05	0	335626
1	0.11	0	276128
1	0.02	0	603084
1	0.02	0	578860
1	0.0	0	283302
1	0.14	0	339987
1	0.18	0	662890
1	0.08	0	312116
1	0.16	0	279357
1	0.05	0	473839
1	0.01	0	678957
1	0.02	0	392660
1	0.01	0	563562
1	0.01	0	647379
1	0.0	0	309858
1	0.0	0	662225
1	0.06	0	694655
1	0.12	0	773139
1	0.4	1	668068
1	0.14	0	763588
1	0.0	0	631971
1	0.42	1	597874
1	0.0	0	667060
1	0.04	0	751878
1	0.02	0	289651
1	0.11	0	983280
1	0.02	0	291484
1	0.02	0	939208
1	0.09	0	757415
1	0.02	0	310792
1	0.28	1	642742
1	0.01	0	558691
1	0.0	0	864758
1	0.06	0	630915
1	0.0	0	434171
1	0.12	0	577107
1	0.1	0	393295
1	0.01	0	543304
1	0.03	0	826820
1	0.04	0	660458
1	0.01	0	832582
1	0.05	0	430260
1	0.03	0	804500
1	0.05	0	707022
1	0.24	0	80843
1	0.07	0	874946
1	0.11	0	248302
1	0.03	0	665475
1	0.02	0	254974
1	0.01	0	339176
1	0.01	0	306694
1	0.0	0	238180
1	0.52	1	554873
1	0.04	0	693344
1	0.03	0	615805
1	0.07	0	603415
1	0.02	0	564504
1	0.14	0	726193
1	0.0	0	881608
1	0.01	0	951479
1	0.06	0	445648
1	0.1	0	795623
1	0.0	0	786500
