Fold	Prediction	Truth	Proj&Col
1	0.0	0	681804
1	0.2	1	242387
1	0.16	0	488556
1	0.02	0	317266
1	0.06	0	765711
1	0.29	0	627597
1	0.04	0	631615
1	0.06	0	993594
1	0.01	0	895458
1	0.04	0	351887
1	0.1	0	310000
1	0.06	0	961769
1	0.03	0	904392
1	0.17	0	800828
1	0.28	0	175527
1	0.0	0	790758
1	0.21	0	656549
1	0.01	0	680346
1	0.66	1	907311
1	0.16	0	698949
1	0.23	0	739709
1	0.02	0	594338
1	0.13	0	390452
1	0.18	0	664189
1	0.0	0	780003
1	0.1	0	386882
1	0.27	0	607447
1	0.04	1	555421
1	0.01	0	302010
1	0.06	0	430130
1	0.16	0	358580
1	0.17	0	236453
1	0.03	0	681243
1	0.16	0	707599
1	0.13	0	636290
1	0.04	0	483239
1	0.03	0	647892
1	0.02	0	605446
1	0.39	1	610631
1	0.06	0	306694
1	0.08	0	559087
1	0.12	0	919922
1	0.11	0	124743
1	0.4	0	79501
1	0.48	1	479528
1	0.18	1	772724
1	0.36	0	662225
1	0.24	0	476304
1	0.01	0	630915
1	0.12	0	556613
1	0.08	0	667032
1	0.04	0	602876
1	0.02	0	659032
1	0.22	0	386911
1	0.5	1	730111
1	0.21	0	509364
1	0.07	0	850439
1	0.12	0	761785
1	0.02	0	972006
1	0.13	0	728452
1	0.28	0	261663
1	0.11	0	623559
1	0.23	1	508890
1	0.05	0	807715
1	0.11	0	739158
1	0.02	0	564556
1	0.1	0	436235
1	0.04	0	628655
1	0.09	0	677925
1	0.18	0	212279
1	0.1	0	561307
1	0.0	0	543863
1	0.11	0	757959
1	0.08	0	805097
1	0.4	1	600202
1	0.0	0	704364
1	0.05	0	625387
1	0.15	0	776896
1	0.32	0	217992
1	0.1	1	826962
1	0.03	0	291484
1	0.01	0	706021
1	0.47	1	759198
1	0.12	0	878516
1	0.02	0	725706
1	0.25	1	735940
1	0.09	0	510388
1	0.01	0	516665
1	0.01	0	558389
1	0.07	0	438893
1	0.16	0	954340
1	0.06	0	788474
1	0.14	0	849660
1	0.15	0	785485
1	0.03	0	903880
1	0.04	0	202085
1	0.07	0	658150
1	1.0	1	338347
1	0.11	0	730798
1	0.08	0	323923
1	0.06	0	530238
1	0.05	0	687729
